IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
156.251.176.48,21952,443,true,HKG,Asia Pacific,Hong Kong,226,2.41
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,235,2.33
8.218.142.253,2083,2083,true,HKG,Asia Pacific,Hong Kong,234,2.14
8.217.127.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,218,2.13
8.210.39.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,219,2.10
47.76.32.108,80,80,false,HKG,Asia Pacific,Hong Kong,245,2.05
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,234,1.98
47.243.86.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,223,1.94
47.243.139.85,8443,8443,true,HKG,Asia Pacific,Hong Kong,227,1.92
8.218.98.75,8443,8443,true,HKG,Asia Pacific,Hong Kong,251,1.75
47.243.90.180,80,80,false,HKG,Asia Pacific,Hong Kong,228,1.73
8.210.55.134,2096,2096,true,HKG,Asia Pacific,Hong Kong,239,1.66
8.218.3.12,2096,2096,true,HKG,Asia Pacific,Hong Kong,228,1.65
47.76.178.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,547,1.57
47.243.234.9,2052,2052,false,HKG,Asia Pacific,Hong Kong,241,1.49
8.217.49.34,2086,2086,false,HKG,Asia Pacific,Hong Kong,232,1.47
8.217.250.222,2096,2096,true,HKG,Asia Pacific,Hong Kong,207,1.41
47.76.32.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,653,1.39
8.218.173.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,240,1.37
47.243.234.9,2086,2086,false,HKG,Asia Pacific,Hong Kong,220,1.33
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,220,1.32
47.242.36.78,80,80,false,HKG,Asia Pacific,Hong Kong,238,1.26
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,215,1.24
47.243.139.243,2052,2052,false,HKG,Asia Pacific,Hong Kong,223,1.24
47.243.169.63,2095,2095,false,HKG,Asia Pacific,Hong Kong,222,1.18
8.210.39.96,8880,8880,false,HKG,Asia Pacific,Hong Kong,209,1.15
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,225,1.13
47.76.94.15,8080,8080,false,HKG,Asia Pacific,Hong Kong,243,1.11
8.217.164.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,215,1.07
47.243.139.243,2083,0,true,HKG,Asia Pacific,Hong Kong,241,0.89
8.210.55.134,8080,8080,false,HKG,Asia Pacific,Hong Kong,206,0.86
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,203,0.77
8.217.250.222,2053,2053,true,HKG,Asia Pacific,Hong Kong,219,0.57
8.210.107.246,8880,8880,false,HKG,Asia Pacific,Hong Kong,219,0.54
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,212,0.47
47.243.86.79,2052,2052,false,HKG,Asia Pacific,Hong Kong,218,0.46
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,203,0.43
47.76.94.15,8443,8443,true,HKG,Asia Pacific,Hong Kong,220,0.36
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,237,0.35
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,240,0.34
47.243.234.9,8880,8880,false,HKG,Asia Pacific,Hong Kong,240,0.32
47.243.86.79,2086,2086,false,HKG,Asia Pacific,Hong Kong,211,0.28
47.243.139.243,8080,8080,false,HKG,Asia Pacific,Hong Kong,211,0.24
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,248,0.23
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,218,0.22
47.243.139.85,2053,2053,true,HKG,Asia Pacific,Hong Kong,235,0.22
47.243.234.9,8080,8080,false,HKG,Asia Pacific,Hong Kong,211,0.21
8.217.123.243,2096,2096,true,HKG,Asia Pacific,Hong Kong,227,0.21
47.243.139.85,2083,2083,true,HKG,Asia Pacific,Hong Kong,233,0.21
8.210.39.96,2086,2086,false,HKG,Asia Pacific,Hong Kong,226,0.19
8.218.3.12,8080,8080,false,HKG,Asia Pacific,Hong Kong,207,0.19
8.218.3.12,2082,2082,false,HKG,Asia Pacific,Hong Kong,204,0.18
8.210.55.134,8880,8880,false,HKG,Asia Pacific,Hong Kong,946,0.17
34.150.103.163,443,443,true,HKG,Asia Pacific,Hong Kong,243,0.17
8.210.85.222,2053,2053,true,HKG,Asia Pacific,Hong Kong,214,0.17
8.217.127.73,2096,2096,true,HKG,Asia Pacific,Hong Kong,246,0.16
47.243.74.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,392,0.15
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,225,0.13
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,224,0.12
47.76.32.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,210,0.12
8.210.43.213,2087,2087,true,HKG,Asia Pacific,Hong Kong,224,0.12
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,217,0.12
119.13.88.67,26541,443,true,HKG,Asia Pacific,Hong Kong,203,0.11
47.243.86.79,8080,8080,false,HKG,Asia Pacific,Hong Kong,228,0.11
8.210.107.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,634,0.11
8.210.43.213,2083,2083,true,HKG,Asia Pacific,Hong Kong,614,0.11
47.243.90.180,8080,8080,false,HKG,Asia Pacific,Hong Kong,241,0.10
47.243.86.79,80,80,false,HKG,Asia Pacific,Hong Kong,216,0.09
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,211,0.08
8.218.173.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,233,0.08
8.217.127.73,80,80,false,HKG,Asia Pacific,Hong Kong,227,0.08
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,198,0.03
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,205,0.03
8.217.164.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,207,0.00
123.58.212.234,443,443,true,HKG,Asia Pacific,Hong Kong,200,0.00
8.210.107.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,222,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,206,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,214,0.00
119.28.22.113,443,80,false,HKG,Asia Pacific,Hong Kong,240,0.00
8.210.43.213,8443,8443,true,HKG,Asia Pacific,Hong Kong,482,0.00
43.154.104.77,443,443,true,HKG,Asia Pacific,Hong Kong,238,0.00
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,215,0.00
8.217.127.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,279,0.00
103.103.245.205,20018,443,true,HKG,Asia Pacific,Hong Kong,232,0.00
221.127.50.207,443,443,true,HKG,Asia Pacific,Hong Kong,237,0.00
103.117.101.24,30809,80,false,HKG,Asia Pacific,Hong Kong,235,0.00
8.218.3.12,2086,2086,false,HKG,Asia Pacific,Hong Kong,235,0.00
8.210.43.213,2053,2053,true,HKG,Asia Pacific,Hong Kong,208,0.00
